0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l,16_n,16_p,16_l,17_n,17_p,17_l,18_n,18_p,18_l,19_n,19_p,19_l
TOP2A,0.0,2.201494,CAV1,1.4428198839716834e-159,0.451883,BASP1,1.1802767915514686e-188,0.66614634,PELI1,2.776001257459278e-171,1.2493119,TIGIT,1.3645894052536317e-118,2.8996537,SH3YL1,0.0,1.1601572,IGF1,1.2620433582625212e-142,0.75168973,SQLE,2.0157269425615018e-274,1.0006624,ADAM9,2.883073803497404e-38,0.36156029,SDC4,1.477695861924315e-71,0.8638151,DUSP2,1.1049388731358094e-67,2.6840544,RHOH,2.405832959134767e-180,0.92665887,CCND1,2.6991288353073996e-40,0.38184926,FGL2,1.1660148308450306e-58,0.5660076,CX3CR1,1.8749801818942933e-10,1.292242,CD27,1.1155319362210586e-40,1.7081631,TFAP2A,6.51614581321783e-126,1.160416,CLDN4,7.210586162179182e-130,1.2212962,APOBEC3B,1.1807103837227837e-12,1.5679965,C1QA,2.298809466385242e-12,0.71068245
HMGA1,0.0,1.3294128,FBLIM1,1.44214067721255e-155,0.9528891,CD1C,4.756611351873691e-178,3.0436935,EDN1,3.7678301808003464e-163,3.901384,GLIPR1,2.0603795031336528e-113,1.0322342,SERHL2,0.0,1.3137187,CCR7,7.758535149272173e-140,1.6085672,FASN,9.60972626308907e-266,0.7045361,ALDH1A3,2.223006990119157e-32,1.0508622,S100A4,2.885218819224861e-66,0.31925765,GPR183,1.615809966836509e-62,0.90241164,FLNB,5.786269893435535e-173,0.7151035,CLCA2,3.0467030323377793e-40,3.9251287,ANKRD28,6.975104199522188e-58,1.1788752,CD80,7.418285142641892e-10,1.9397397,CD4,2.0585048448952044e-32,0.7295281,CDC42EP1,1.361290920731676e-122,2.2427526,NARS,4.393780456050066e-125,0.8497516,RHOH,2.860435634221998e-12,0.7114319,AQP1,2.4673023151544205e-12,0.2575743
CENPF,0.0,2.5412714,RUNX1,7.586061977740048e-152,0.47949117,SFRP4,1.2459916606806349e-175,0.8480235,SVIL,1.7835868692837417e-119,0.6031072,AQP3,2.955477518567884e-74,2.3486474,SEC24A,0.0,1.0476078,PIM1,3.842847194917336e-137,1.1608057,JUP,3.75311106315587e-238,0.9660326,DPT,5.404794711033713e-32,0.5528043,ESR1,1.4672189707181857e-65,0.8482382,TIGIT,3.475282732995408e-56,2.2930787,HMGA1,3.2933888009862525e-171,0.8724844,KRT23,3.195343375635974e-39,1.4122576,CAV1,3.557684690363683e-55,0.53332937,MAP3K8,1.1492070129731408e-09,0.6166827,TIFA,3.4608884263582516e-32,1.4330834,SMS,9.602091151110158e-122,0.74719405,AR,1.6440958800702073e-124,1.1223652,SMS,4.342984644757847e-12,0.4606785,PDGFRA,2.5487395015593575e-11,0.3710805
SLC5A6,0.0,1.4111142,FGL2,1.1608763293746087e-145,0.37754202,CXCR4,1.0083759055456334e-173,0.5261993,WARS,1.9440391155776662e-110,0.6887512,PIM1,1.389669985212459e-47,1.1579962,ESR1,0.0,1.9931368,CD8A,2.2691101553563067e-134,1.1763157,SLC5A6,2.2784195841047804e-224,0.9597499,PTN,3.0133577073862727e-31,0.47675145,MRC1,2.5163765214197217e-64,0.3442593,KLRB1,3.81485979171468e-52,1.132336,TACSTD2,1.0629308775706798e-166,0.64614594,TUBB2B,1.0359536741727675e-35,1.3479455,TCF4,1.6432210401437843e-53,0.62650204,KRT8,3.2420703845632665e-09,0.26007137,VOPP1,2.3691572708200093e-29,0.53543913,KLF5,1.4749290698924164e-118,1.2506155,SMS,2.407237846092604e-124,0.90494674,NARS,7.321770237408115e-12,0.3766035,MEDAG,3.150174671863978e-11,1.1747338
ZNF562,0.0,1.0766673,TAC1,3.9586948147156373e-143,2.3406363,PTGDS,9.506061736195145e-154,0.66864246,TCIM,6.247745275335888e-110,0.5691744,APOBEC3B,3.0315234404087374e-25,1.5802271,JUP,0.0,1.2463449,PDGFRA,3.0096242388782725e-131,0.70359963,TMEM147,3.2124163789337704e-218,0.65952104,MDM2,7.995609298115748e-31,0.28482857,CD68,1.3885320167227267e-63,0.25068042,POSTN,1.7471971226839082e-45,0.4772291,SMS,9.293454151673227e-161,0.70522094,KRT8,2.1792004762794524e-35,0.3400252,FBLN1,1.8477555279308056e-44,0.51310855,PLD4,4.3690357872422986e-07,1.7026732,GZMB,1.6291273753789757e-27,3.2228794,LYPD3,2.18960505414075e-97,0.88223386,SLC5A6,1.3936839961371799e-114,1.1553469,TPD52,1.492685745181306e-11,0.40288147,CAVIN2,8.815721887937842e-11,1.6912739
TMEM147,0.0,0.9080233,MRC1,4.9235968960404405e-140,0.5007424,FAM49A,5.252090785706703e-145,1.4659692,LPL,1.48840959073798e-106,1.3674481,PTGDS,1.1376620127474917e-19,0.44241032,RTKN2,0.0,1.8218559,LTB,2.3946666827583855e-122,1.5948488,ZNF562,2.1412790648799606e-205,0.706917,TAC1,8.119263016401804e-27,1.7066436,CD163,6.523779030988842e-58,0.31495103,LDHB,4.828174117955898e-41,0.5521188,SCD,2.8087015144509088e-160,0.7201544,FLNB,5.050635319880326e-35,0.35148615,PIM1,6.710694398003826e-42,0.87260425,PPARG,1.5154037822717039e-05,0.53633094,ITGAM,1.6926646578841896e-27,1.5851074,ELF5,8.028823334972723e-94,4.3403583,HOOK2,1.9072224056310236e-103,1.4376546,EPCAM,2.943214899811493e-11,0.384253,TRAPPC3,2.4804390229858626e-09,0.43294007
TFAP2A,0.0,1.253866,FAM49A,3.1225280521172065e-127,1.0798535,S100A4,1.6778871821002387e-136,0.5596539,CCPG1,5.057325452177058e-106,0.56152886,CD83,3.8476583758765134e-19,1.5407407,USP53,0.0,1.1573956,SMAP2,3.163394016698466e-122,0.70117265,DMKN,1.2117979439851018e-203,1.8501267,CXCL12,1.289069035491353e-22,0.18926348,FCER1G,9.034555291449155e-56,0.22335275,LAG3,7.376605876954604e-38,2.8419228,SQLE,1.110255127283629e-156,0.9565568,TCF7,2.50289593657886e-30,0.68692875,CD19,5.303168834834434e-39,2.365418,PECAM1,1.8305533575304073e-05,-0.016461719,ADGRE5,5.49804573842523e-26,0.93928707,C5orf46,1.1843393285967504e-90,3.7919972,KRT6B,3.2108371869396067e-103,1.4810562,CCDC6,1.086622829960908e-10,0.42692518,PTGDS,1.1189392422762435e-08,0.18283331
DST,0.0,0.7533831,ADIPOQ,4.640924078530239e-122,2.317183,LPXN,2.6811066093988884e-129,0.80858725,CLDN5,1.7112303711738705e-99,4.822003,SPIB,1.5880179518002779e-18,1.8084857,SRPK1,0.0,0.99425375,DPT,5.738966329476508e-113,1.096835,RUNX1,5.383393087006898e-196,0.5638144,SNAI1,7.958059109164224e-21,2.0053093,FGL2,1.4038267305749106e-54,0.16122708,CD27,7.52734660229875e-36,1.4331104,CENPF,1.0772903414881354e-140,1.7026496,CD9,2.1577924405087387e-23,0.24913265,PELI1,1.4765214092955956e-33,0.8709217,FAM49A,9.990284601470848e-05,0.47157148,CD1C,2.427260692388573e-24,1.9610838,USP53,7.90985931525888e-88,0.7670901,QARS,2.7743423758151517e-101,0.8236008,LAG3,7.548973561680738e-09,2.2889,FCER1G,1.334354246894587e-08,0.30244806
POLR2J3,0.0,0.5812821,C1QA,2.851398936407215e-112,0.65813327,MMP2,7.243885121707088e-125,0.4686514,ESM1,8.733094023089967e-98,4.0110884,PRF1,1.232244113219999e-17,1.6722091,SDC4,0.0,1.3713094,SERPINB9,3.769228041197438e-111,0.7099977,C6orf132,1.2380423913992234e-151,1.3945096,ITM2C,1.1325713316533086e-20,0.14626715,ITM2C,6.543127641737094e-53,0.25244555,POLR2J3,5.441543036304581e-35,0.18184349,PTRHD1,1.200152058629591e-139,1.1333265,GJB2,4.414479216097419e-23,1.1348203,BASP1,4.961058237715581e-31,0.41052812,EIF4EBP1,0.0002091590911034304,0.6769676,IL3RA,1.352324708161093e-23,2.2956283,OPRPN,1.0783629523538824e-87,3.9253526,JUP,1.38638255248412e-94,1.0402269,KRT14,7.633357160304375e-08,1.0616424,PIM1,2.2553544876097508e-08,0.5832625
ADAM9,0.0,0.8196394,BACE2,2.3929011179666314e-106,0.6362996,LY86,7.083008876314354e-120,2.3606193,SOX18,3.1243826895447107e-89,4.236134,DUSP2,1.082982712907859e-16,1.6973639,LARS,0.0,0.79833424,TIGIT,2.575310805043887e-110,2.2349346,TRIB1,6.949937521402023e-142,0.830224,MMP1,3.085149977696033e-20,2.4329345,HOXD8,2.830970684743612e-49,0.53322744,APOBEC3B,2.28399666543316e-33,1.7024976,TOP2A,9.146045822217785e-131,1.3052465,TOMM7,1.2035785820596608e-20,0.1751731,LYZ,2.8128661622120138e-30,0.2975689,CLECL1,0.0003250294839190334,1.0379249,FAM49A,1.5967840096230217e-23,1.4543961,TUBB2B,4.7680290572431134e-87,1.6627922,SH3YL1,1.1328335980249967e-88,0.84200275,GZMB,3.0867065824678207e-07,2.205876,AIF1,3.9200734534611643e-08,0.29756275
SEC11C,0.0,0.8421481,AKR1C3,2.1906634404142667e-94,1.7800952,SERPINB9,7.464828070778726e-94,0.67292476,ADH1B,2.148205936021201e-84,0.9800191,RHOH,1.8772233603442577e-11,0.68750376,TMEM147,0.0,0.78174585,AIF1,1.4055002658867926e-103,0.6194016,TFAP2A,5.191193774415986e-130,0.64144844,KRT14,3.2217958403925317e-16,0.40480015,CPA3,1.1937032239323753e-48,2.5739365,ZEB2,1.000969789130967e-31,0.36731786,QARS,2.149879885570082e-113,0.6090858,BACE2,5.6624216654895903e-14,0.43032008,DPT,8.285750912207743e-30,0.7116975,S100A8,0.0012367105868513692,1.584598,TCL1A,1.0872315324546174e-21,4.5071707,S100A14,5.2525876203774155e-84,0.6692248,ABCC11,1.7677296970534452e-78,0.86556697,KLRB1,3.2774321548189167e-07,0.7726646,VWF,4.758827607383794e-08,0.26575574
RHOH,0.0,1.0252749,CD14,1.0552206295784457e-85,0.4392778,SLAMF7,3.883613015840188e-91,0.89430493,LGALSL,5.672838804496214e-74,1.6379737,MS4A1,1.623005169108278e-10,0.73647773,C6orf132,0.0,1.883531,GLIPR1,1.412704943287769e-97,0.64664876,KRT14,1.7006602358276846e-124,0.8447729,SEC24A,3.98864772102155e-15,0.27669448,LPL,3.143655782312775e-47,0.73906696,PTGDS,3.347800854400043e-24,0.5124756,LARS,3.339939936286386e-111,0.5775377,CTTN,7.577352911663977e-14,0.20609201,MMP2,1.782133741919898e-28,0.3258903,CXCR4,0.0028067995757466947,0.07488659,CD69,4.618794040001131e-21,0.9241464,SDC4,8.309323473671121e-82,1.2104918,RTKN2,8.004767893365004e-77,1.3284209,PIM1,1.5316888270163536e-06,0.6963268,RUNX1,1.6927543485217187e-07,0.34250796
SMS,0.0,0.77130896,LRRC15,7.312880211487834e-82,1.2294745,ADGRE5,4.134449069845975e-83,0.6605639,MYH11,5.486700527751657e-72,1.8951102,FOXP3,1.1716979599589477e-08,2.0035784,ZNF562,0.0,0.8611836,CD27,1.0283489916418043e-95,1.3790582,STC1,1.3057598808657378e-120,1.9234087,HOXD8,8.225336823213212e-15,0.39954597,C1QA,6.125430982944019e-47,0.45179147,CCR7,1.0117857097717366e-15,0.99940944,SRPK1,9.686506856517735e-106,0.6583216,TCEAL7,7.169936170543051e-13,1.0273197,LDHB,2.613719444677865e-26,0.3425345,MRC1,0.0028197499603343267,0.114114225,CD80,1.676647949148554e-20,3.0118706,TRAPPC3,1.2042493922589896e-81,0.65335107,AGR3,1.1768301355556937e-76,1.4372739,MDM2,2.251754541140388e-06,0.2420003,PECAM1,2.4318721296367997e-07,0.21407472
QARS,0.0,0.80324054,TIMP4,7.816499795267e-73,1.6966335,RUNX1,8.301664011147113e-78,0.36876777,SNAI1,6.46038044611544e-57,2.8081615,BANK1,5.0492602437437936e-08,0.76124346,CCDC6,4.22414102956641e-309,0.68480945,FCER1G,4.302049551661251e-74,0.4548309,BACE2,1.1133372541716388e-119,0.7140626,FCGR3A,1.6557914975775496e-14,0.5000498,BASP1,5.6958942886556716e-46,0.32053763,AIF1,4.347031935967008e-11,0.40082064,C6orf132,2.8707396195008686e-96,1.3608663,AGR3,1.7325480101177445e-12,0.5066218,GPR183,1.953098620631161e-23,0.35103738,KRT7,0.008377642527228375,0.13111094,TRAC,1.418726507199071e-19,0.4304321,BACE2,1.5519011849041335e-80,1.0019448,ESR1,3.45184055796092e-76,1.5345,SLAMF7,8.853743290389034e-06,0.41194808,CD93,6.633477176948113e-07,0.17228633
PTRHD1,0.0,1.3692089,AIF1,1.4169073537556088e-64,0.2203572,FBLN1,2.678967104588419e-64,0.3440788,ADGRE5,9.229606765125633e-55,0.60524046,CD8A,1.8221030546539046e-07,0.4610059,VOPP1,2.8862372854662976e-302,0.63491154,CD68,2.7734219262982792e-64,0.41992006,SRPK1,4.442573963936369e-118,0.5306617,APOC1,4.968084437304394e-13,0.44873303,TCEAL7,1.0880108239742807e-42,1.2632203,SELL,7.095797473440874e-11,0.68035156,HDC,3.2001349308906294e-93,0.73603886,MMP1,1.3055557700470862e-11,2.1194227,AIF1,2.8996076228774235e-22,0.34584025,MMP1,0.012574946119428136,1.8136662,CCDC80,2.2814750426887068e-17,0.35498938,HOOK2,5.0738994011025714e-79,1.2953323,DSC2,3.814072661084978e-76,0.79823625,TOMM7,9.430449779456628e-06,0.1348028,CLIC6,7.66373268440771e-07,2.6475186
LARS,0.0,0.7370704,PDE4A,2.5839075006232697e-62,0.68391955,IL2RA,6.234157904405018e-56,1.9234641,ENAH,1.8218741227303536e-51,0.3632743,CCL20,8.216631372962034e-07,2.8251805,DSC2,3.6215139147963596e-281,0.7693435,TOMM7,8.713532816128768e-60,0.21315762,OCIAD2,3.5581645319861264e-109,0.73474437,ANGPT2,6.796161376456545e-13,1.0270245,KIT,5.817188937010603e-42,1.505645,LTB,9.823011473627072e-09,0.8383423,JUP,4.290432305024033e-90,0.69507605,CCDC6,7.25303272539502e-10,0.1794439,TMEM147,2.5884943284205368e-15,0.3087651,LILRA4,0.02360573216877751,0.7763429,CD68,9.083200308161635e-17,0.46684626,TRIB1,1.59554512246613e-77,1.1029998,CCDC6,1.80285026293503e-72,0.6648767,TOP2A,2.8704870661968406e-05,0.75267017,KARS,1.0877778713403095e-06,0.49831387
HDC,0.0,0.9210347,PIM1,2.3405653365076577e-56,0.50761974,LDHB,3.296759392778441e-55,0.31143045,AKR1C3,2.862694995143569e-50,1.7985754,CD274,0.00037226092775074956,1.4282483,TRAPPC3,9.922710659304074e-281,0.66255903,PRF1,6.331874520358263e-54,1.7317331,HDC,1.8637603968499482e-104,0.59680116,RAB30,2.706028276424493e-12,0.41552883,CCPG1,9.102676150285397e-42,0.31111518,PECAM1,9.968358785611628e-08,0.19027218,TPD52,5.377328793066871e-81,0.45887876,LDHB,8.311424271434928e-10,0.12701686,CD79B,8.528662283960344e-15,2.3157597,PDCD1LG2,0.025966117370563837,0.65845907,TCF7,2.0134298674961057e-14,1.0293969,FBLIM1,6.297389241141645e-74,1.0712407,ELF3,1.161844743635593e-71,0.8756029,SCD,2.9985086926998533e-05,0.16579323,SVIL,2.9294286604519154e-06,0.2968678
OCIAD2,0.0,1.0678687,PTN,1.0167130288081735e-53,0.2259482,TCF4,8.612297985556873e-54,0.3601913,AKR1C1,5.005536294144483e-48,1.1465943,GNLY,0.002040244152699174,2.0878084,HOXD8,4.3042362132007185e-280,0.9138936,ZEB2,1.588190736560867e-43,0.28055942,TUBB2B,1.1542373850504718e-102,1.0990074,LPL,5.647712564039627e-12,0.4590765,TPSAB1,3.50523718558347e-40,1.8177274,GZMB,1.270544399186618e-07,1.6831558,ADAM9,1.3477572268073732e-76,0.46733725,TIFA,2.3388611878691327e-08,0.47981495,PDE4A,1.9704810718135186e-14,0.7108364,PIM1,0.04545820427480451,0.44642553,SLAMF7,3.4403963087186375e-14,0.7595637,CCDC6,2.2869976571359503e-70,0.5584488,SEC24A,8.280188677839795e-66,0.67191845,CTLA4,2.9985086926998533e-05,1.1586232,RAMP2,3.804602120099749e-06,0.5117578
SRPK1,0.0,0.7204934,FSTL3,3.086870855983688e-50,0.8781219,CD83,5.58353446429294e-51,1.344405,CTTN,1.1362310984484156e-46,0.2781181,KLRC1,0.00913595123213202,0.946664,CEACAM8,5.351004295571979e-280,2.8532135,C1QA,1.2001815064956104e-41,0.65071476,KRT5,5.987428947638268e-85,0.8390847,GLIPR1,2.7789749148628836e-11,0.11609731,KRT15,3.8256449085488195e-39,0.22124307,GNLY,2.73033522607631e-05,2.5766869,OCIAD2,7.269985420273704e-75,0.7987556,FSTL3,1.1724232001721401e-07,0.694879,FAM49A,2.874416841240268e-12,0.69029945,HMGA1,0.04912979425874522,0.29234594,DERL3,6.777331415717347e-14,2.2089376,DNTTIP1,4.3703460360980047e-69,0.93634313,KRT16,9.62919351005853e-65,1.6876475,SMAP2,3.933196060907045e-05,0.35292923,SLC25A37,1.2458487933284043e-05,0.59011424
MKI67,0.0,1.7768004,RAB30,3.101352398327003e-48,0.5003599,APOC1,1.4054312582218825e-49,0.9017666,POSTN,5.40475128237007e-45,0.26894775,CD80,0.035665872941511884,1.3470888,CTTN,8.891352275818457e-251,0.61835235,ZEB1,1.615233602008799e-37,0.43290266,KRT15,8.38746556399976e-84,0.5340489,S100A4,2.0567051741805e-09,0.076864004,BACE2,9.91475738745402e-38,0.4392744,LRRC15,0.0008618680772135095,0.65079963,KLF5,3.3909275294834314e-69,0.6327737,CCPG1,1.3177142173269675e-07,0.18203321,C1QA,1.7253619132933883e-11,0.4033854,CD274,0.058878589784270345,0.7325894,TPD52,2.671787001689799e-13,0.34473243,ERBB2,1.835342328225423e-67,0.5733467,SRPK1,1.811603298505564e-62,0.69507223,ITM2C,6.38774741305896e-05,0.2963947,USP53,2.154255176858787e-05,0.29663777
SEC24A,1.128945407234252e-266,0.58616316,DST,7.391984296219443e-43,0.19252531,PDCD1LG2,5.073036148612084e-48,2.05747,PDE4A,4.024281588892225e-41,0.8317773,KLRD1,0.061879259011145354,0.69292444,PCLAF,5.966211226326685e-246,1.097151,TUBA4A,6.308883878954415e-36,0.4561834,SEC24A,1.3140343290923657e-80,0.3749448,DUSP5,6.943182400220555e-09,0.31004554,VWF,1.3274718683693184e-36,0.04346864,FGL2,0.006695975937102641,0.18830267,SEC24A,1.9925878474741156e-67,0.46725464,ANKRD29,1.4474071789224721e-07,0.6325015,ADH1B,2.7932491038930844e-09,0.08925007,OPRPN,0.15813465679299532,0.61389315,MAP3K8,1.5714145745430054e-12,0.8817182,RTKN2,3.727522702759218e-63,1.2124707,TRAF4,3.5127579973915036e-61,0.71997017,TIGIT,8.36468316700311e-05,1.1805853,CTH,2.606486297019965e-05,1.9497846
C6orf132,2.6600927117519293e-241,1.4330323,CCL8,8.765597487986574e-42,1.6401712,ADH1B,2.9843465014293005e-45,0.5303151,LUM,4.024281588892225e-41,0.38977337,NKG7,0.06962139601396301,0.7573864,TRAF4,7.2483847794286045e-242,0.74783844,ITM2C,1.4615094431102808e-35,0.30162275,PCLAF,3.0934193734492787e-74,0.6365447,FAM107B,1.6649046098921958e-08,0.108819425,CD14,1.2780268004735866e-32,0.19020796,MS4A1,0.027545714732660445,0.121082366,SDC4,2.1644080122924267e-67,0.77804506,APOC1,1.3002590596354533e-06,0.27782804,MRC1,2.5678134739725877e-08,0.14905034,PIGR,0.25960630965267284,0.93628246,APOBEC3B,2.0321856395719085e-11,1.3769742,CTTN,9.915702409967665e-57,0.47136614,ZNF562,4.3703285628595094e-60,0.65964276,PCLAF,0.00011720302154780246,0.62116265,CPA3,3.8310829670966916e-05,1.9268886
STC1,2.6548894796949284e-219,2.0274656,C1QC,1.2077922463614016e-41,0.18193631,PELI1,5.134794805029909e-42,0.6719599,CCDC80,1.6096281228461565e-33,0.15666912,IL2RA,0.13734548152662204,0.934372,TOP2A,1.5806108918362321e-239,1.2027119,PDK4,1.6931640531309976e-35,0.25421008,CXCL16,5.887743820839705e-74,0.4380661,CDC42EP1,2.7435915637068744e-07,0.7034865,MYH11,2.630377598991018e-32,0.5252284,GJB2,0.03137279893442555,0.5966613,DMKN,1.940928857936962e-65,1.3479474,ZNF562,1.4848343999806765e-05,0.20649865,PDGFRA,5.396062504637232e-08,0.12562166,IL2RA,0.28152058266610575,0.46209347,SLAMF1,2.0145485110100798e-09,0.9160166,MAP3K8,2.4787152703936422e-51,0.9158902,C6orf132,3.5475837968910452e-59,1.4323126,ACTG2,0.0002027295643155308,0.22651806,ZEB1,7.323450623603219e-05,0.20229405
DMKN,5.44976217451596e-196,1.6003453,ADAM9,7.250479314592241e-40,0.2438207,CYTIP,2.2310241668779107e-38,0.26140058,TIMP4,1.4949828941235582e-29,1.6471875,PDCD1,0.14887574293673098,2.7605472,DNTTIP1,3.32449832896295e-216,0.8097867,KLRD1,4.807052543611061e-34,1.2463373,CENPF,6.7336359813001135e-71,0.9989941,PELI1,2.3660318573372213e-06,0.26706618,PECAM1,4.482427117954685e-31,0.011163858,CCDC80,0.04303344417679279,0.040136132,STC1,2.515503150749371e-63,1.5888342,MYBPC1,2.37105355541548e-05,2.6550932,CD68,8.602911750273505e-08,0.08190583,CD9,0.2943358578556339,0.04245416,FGL2,3.795204563712555e-09,0.35304633,MLPH,2.310686058228951e-42,0.4349255,TRAPPC3,3.72257512535077e-56,0.58460504,KRT5,0.00033155428077056404,0.8521328,HDC,0.00011567425286664946,0.35466006
JUP,3.720130706927345e-192,0.63562596,ANKRD28,3.660180702650893e-36,0.4846663,IL2RG,1.5033790805929641e-37,0.28869718,TRAPPC3,2.836061280457392e-28,0.32467327,LILRA4,0.25936682394471466,0.76954585,SQLE,8.642680325428509e-215,0.7231878,AQP3,1.6406147255970653e-33,1.3318994,CEACAM8,1.5932487610109918e-68,1.9279085,KRT6B,7.655675067432612e-06,0.21382214,C1QC,1.0586927570097196e-27,0.12193751,MNDA,0.05911251296864562,0.34665257,SEC11C,8.325786100690113e-56,0.3237701,TPD52,0.0002632517647476845,0.07646509,C1QC,1.1326769713730157e-07,0.24068685,ELF5,0.32566619711592626,1.0282176,AIF1,4.53129766380585e-09,0.42076868,C6orf132,2.881597863201709e-41,1.2961388,DNTTIP1,1.0674548565982317e-54,0.760167,SRPK1,0.0009971413689131715,0.42167935,HOXD8,0.00019639524028272975,0.43710488
SDC4,1.937681503129831e-179,0.82432264,AQP1,2.7974767921756993e-31,0.0061720777,DPT,2.0534908998405573e-35,0.49430594,CRISPLD2,2.8081337786917308e-25,0.43404192,CD8B,0.3632579088654982,0.4977209,HPX,1.0966960968012036e-185,2.7067,CD8B,4.5849600775043226e-33,1.0066807,TOP2A,6.203612604755209e-68,0.7838391,TRAPPC3,4.2079028501986234e-05,0.13863479,MYLK,2.4767882327764326e-27,-0.06373676,GZMK,0.07040047505117021,2.500806,KARS,1.2815851126062697e-55,0.56664604,TRIB1,0.0004258701847634194,0.25415185,FCER1G,1.4947609637560833e-07,0.09375283,CCND1,0.48882376546524997,0.042965557,S100A4,1.1363459510976184e-08,0.30616584,OCIAD2,4.986955444549013e-41,0.78773725,LARS,4.677723599275656e-51,0.5545612,PRDM1,0.0013425320572065455,0.29400197,AVPR1A,0.00031373701808372757,1.3144954
FLNB,3.861672274172837e-176,0.40149835,GLIPR1,2.17989626399553e-26,0.052501447,CLECL1,5.3562620953659e-29,1.6594846,S100A4,1.1535943821263739e-23,0.23476945,TCL1A,0.6516989706452134,0.6959541,HDC,7.344567034784536e-180,0.6488377,ADH1B,5.0779916643905906e-33,0.38925442,RTKN2,6.680116311449908e-52,0.5596536,ACTG2,5.148167891659039e-05,0.0761105,AIF1,5.2787776295350124e-27,0.0733019,CD274,0.0920302995399305,0.8917561,MKI67,1.0355934438222924e-52,1.157965,MMRN2,0.0011831942241153364,0.16490418,GLIPR1,6.609674815665625e-07,0.13340908,CD93,0.5694431605038277,-0.12212288,IL7R,2.525767615207118e-07,0.102706924,S100A8,1.164230923249839e-37,3.5084321,TMEM147,1.6882298529808448e-50,0.55343163,KRT15,0.0019061193905358237,0.722712,FAM107B,0.00039531211480422216,0.122746974
CLDN4,5.0753169771454846e-176,0.58875483,FCER1G,6.908865469659752e-26,-0.018961828,PLD4,6.848340883456999e-26,2.0538213,FOXC2,3.9780945652028607e-23,1.9096944,PDCD1LG2,0.6529631569731194,0.76698816,HMGA1,2.283863334595142e-143,0.46976236,MRC1,1.0603802357032565e-27,0.2897184,KLF5,8.42159635494263e-50,0.27701607,TMEM147,6.546301722910679e-05,0.12099182,LYZ,8.570957507029067e-25,-0.06061938,ZEB1,0.13027482629832218,0.21543843,TRIB1,7.627926938425351e-49,0.5662922,CXCL16,0.00495587116127564,0.18948585,MDM2,1.0180736150564225e-06,0.16954614,PDK4,0.7179716969518418,0.16471516,FCER1G,8.104156775676239e-07,0.28718588,TCF7,4.036462342557825e-34,0.64223355,HOXD8,2.819450266324321e-48,0.7492831,DUSP2,0.0026533359858283844,1.116439,ANKRD28,0.00048773919466882246,0.50191814
RTKN2,1.0579563317614175e-166,0.89751464,HOXD8,2.6404853206718123e-24,0.273436,WARS,6.157412876105257e-25,0.43532342,PTGDS,6.938063817721322e-23,0.17510764,GZMK,0.7093887263827418,1.2661536,OCIAD2,3.398322847060762e-134,0.6916536,LRRC15,1.1384778244729939e-27,0.90794057,USP53,5.900290096450266e-44,0.22814752,C5orf46,7.364129068125696e-05,1.1848487,RAB30,2.8843394215115363e-24,0.36601582,KLRF1,0.26922119852259174,1.2068169,ESR1,2.9617233000909535e-48,0.6855226,KIT,0.007259422547247494,0.4052976,APOBEC3B,1.6228305247181848e-05,0.6084102,CLEC9A,0.7218869707501901,0.6868428,KLRB1,4.311557007218031e-06,0.40387094,SRPK1,2.0014052367442362e-30,0.45783034,CEACAM8,8.532073258434165e-42,2.1215913,ERN1,0.0038255109432314216,0.32829574,PDE4A,0.0005138280543114894,0.44964793
KARS,1.517957246932935e-128,0.53118837,ACTA2,9.072772268187022e-23,0.029363211,PDGFRA,1.4025663914292516e-24,0.15813838,STC1,1.2678048743115393e-19,1.5932473,CLEC9A,0.7622534150240633,0.57828134,TUBB2B,4.320506551611778e-91,0.89635056,C1QC,1.4779978535378323e-26,0.399472,FSTL3,8.356456694544344e-44,0.6587274,DAPK3,0.0003610626625546656,0.6145614,FCER1A,5.662057857766172e-22,0.68490666,CLEC9A,0.32755459161910594,0.8991794,RAPGEF3,7.779330737346167e-48,1.2159921,OPRPN,0.016776095320761037,1.287651,ZEB1,1.7700213628545717e-05,0.12297412,CCL20,0.7304506031460944,0.4867946,TNFRSF17,5.171533345585439e-06,1.634842,ZNF562,2.585471297093757e-22,0.36797684,SQLE,3.0905509596059614e-41,0.5986276,TFAP2A,0.006831097091918686,0.43663487,PDGFRB,0.0006079504293962786,0.014633579
